Enrollment Month,Plan Type,County,Plan Name,Count of Enrollees,Count of Enrollees Annotation Code,Count of Enrollees Annotation Description
2017-10,Cal MediConnect,Orange,CalOPTIMA CCI,15118,None,None
2017-10,Cal MediConnect,Riverside,Inland Emp Hlth Plan/Rvrsd CCI,12491,None,None
2017-10,Cal MediConnect,San Bernardino,Inland Emp Hlth Plan/San Beranrdino CCI,12114,None,None
2017-10,Cal MediConnect,San Diego ,Care 1st Parternship CCI,2366,None,None
2017-10,Cal MediConnect,San Diego ,Community Health Group CCI,5395,None,None
2017-10,Cal MediConnect,San Diego ,Health Net San Diego CCI,2148,None,None
2017-10,Cal MediConnect,San Mateo,Hlth Plan of San Mateo CCI,9173,None,None
2017-10,Cal MediConnect,Santa Clara,Anthem Blue Cross Partnership Plan/Santa Clara CCI,2911,None,None
2017-10,Cal MediConnect,Santa Clara,Santa Clara Family Hlth CCI,7153,None,None
2017-10,Cal MediConnect,San Bernardino,Molina Healthcare San Bernardino CCI,2344,None,None
2017-10,Cal MediConnect,San Diego ,Molina Healthcare San Diego CCI,4697,None,None
2017-10,CCS Demonstration,San Mateo,San Mateo HCP CCS,1605,None,None
2017-10,COHS,Del Norte,Partnership HealthPlan of CA/Del Norte,11465,None,None
2017-10,COHS,Humboldt,Partnership HealthPlan of CA/Humboldt,52268,None,None
2017-10,COHS,Lake,Partnership HealthPlan of CA/Lake,31028,None,None
2017-10,COHS,Lassen,Partnership HealthPlan of CA/Lassen,7524,None,None
2017-10,COHS,Marin,Partnership HealthPlan of CA/Marin,39643,None,None
2017-10,COHS,Mendocino,Partnership HealthPlan of CA/Mendocino,38400,None,None
2017-10,COHS,Merced,Central California Alliance for Health Merced,127048,None,None
2017-10,COHS,Modoc,Partnership HealthPlan of CA/Modoc,3118,None,None
2017-10,COHS,Monterey,Central California Alliance for Health/Monterey,157490,None,None
2017-10,COHS,Napa,Partnership HP of CA/Napa,28762,None,None
2017-10,COHS,Orange,CalOPTIMA / Orange,772925,None,None
2017-10,COHS,San Luis Obispo,"Santa Barbara Hlth Authrty, San Luis Obispo",54447,None,None
2017-10,COHS,San Mateo,Hlth Plan of San Mateo,111752,None,None
2017-10,COHS,Santa Barbara,Santa Barbara Hlth Authrty,125623,None,None
2017-10,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,69501,None,None
2017-10,COHS,Shasta,Partnership HealthPlan of CA/Shasta,59904,None,None
2017-10,COHS,Siskiyou,Partnership HealthPlan of CA/Siskiyou,17565,None,None
2017-10,COHS,Solano,Partnership HP of CA/Solano,111282,None,None
2017-10,COHS,Sonoma,Partnership HealthPlan of CA/Sonoma,113635,None,None
2017-10,COHS,Trinity,Partnership HealthPlan of CA/Trinity,4348,None,None
2017-10,COHS,Ventura,Gold Coast Health Plan Ventura,205022,None,None
2017-10,COHS,Yolo,Partnership HealthPlan of CA/Yolo,54041,None,None
2017-10,Dental,Los Angeles,Access Dental Plan/LA,191996,None,None
2017-10,Dental,Los Angeles,Health Net of California,199574,None,None
2017-10,Dental,Los Angeles,Liberty Dental Plan of CA (LA),66753,None,None
2017-10,Dental,Sacramento,Access Dental Plan/Sacto,139051,None,None
2017-10,Dental,Sacramento,Health Net of California Dental,129885,None,None
2017-10,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,162665,None,None
2017-10,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,182765,None,None
2017-10,Geographic Managed Care,Sacramento,Health Net/Sac,115157,None,None
2017-10,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,85086,None,None
2017-10,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,60181,None,None
2017-10,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),85910,None,None
2017-10,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,284991,None,None
2017-10,Geographic Managed Care,San Diego ,Health Net/San Diego,77591,None,None
2017-10,Geographic Managed Care,San Diego ,Kaiser/San Diego,52996,None,None
2017-10,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,232403,None,None
2017-10,Geographic Managed Care,Sacramento,UnitedHealthcare Community Plan of California/Sacto,162,None,None
2017-10,Geographic Managed Care,San Diego ,UnitedHealthcare Community Plan of California/San Diego,86,None,None
2017-10,Imperial Model,Imperial,California Health & Wellness/Imperial,61334,None,None
2017-10,Imperial Model,Imperial,Molina Healthcare of California/Imperial,15262,None,None
2017-10,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,218,None,None
2017-10,PACE,Fresno,Central Valley Medical Services Corp.,375,None,None
2017-10,PACE,Humboldt,"Humboldt Senior Resources Center, Inc.",130,None,None
2017-10,PACE,Orange,CalOPTIMA PACE,230,None,None
2017-10,PACE,Riverside,InnovAge PACE/Riverside,119,None,None
2017-10,PACE,San Bernardino,InnovAge PACE/San Bernardino,338,None,None
2017-10,PACE,San Diego ,San Diego PACE,232,None,None
2017-10,PACE,San Diego ,St. Paul's PACE,683,None,None
2017-10,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,983,None,None
2017-10,PACE,Santa Clara,OnLok Lifeways,226,None,None
2017-10,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,675,None,None
2017-10,Regional,Alpine,Anthem Blue Cross Partnership Plan/Alpine,134,None,None
2017-10,Regional,Alpine,California Health & Wellness/Alpine,91,None,None
2017-10,Regional,Amador,Anthem Blue Cross Partnership Plan/Amador,5348,None,None
2017-10,Regional,Amador,California Health & Wellness/Amador,1039,None,None
2017-10,Regional,Amador,Kaiser/Amador,97,None,None
2017-10,Regional,Butte,Anthem Blue Cross Partnership Plan/Butte,29134,None,None
2017-10,Regional,Butte,California Health & Wellness/Butte,37199,None,None
2017-10,Regional,Calaveras,Anthem Blue Cross Partnership Plan/Calaveras,3804,None,None
2017-10,Regional,Calaveras,California Health & Wellness/Calaveras,5656,None,None
2017-10,Regional,Colusa,Anthem Blue Cross Partnership Plan/Colusa,4701,None,None
2017-10,Regional,Colusa,California Health & Wellness/Colusa,2629,None,None
2017-10,Regional,El Dorado,Anthem Blue Cross Partnership Plan/El Dorado,8872,None,None
2017-10,Regional,El Dorado,California Health & Wellness/El Dorado,19617,None,None
2017-10,Regional,El Dorado,Kaiser/El Dorado,1892,None,None
2017-10,Regional,Glenn,Anthem Blue Cross Partnership Plan/Glenn,3770,None,None
2017-10,Regional,Glenn,California Health & Wellness/Glenn,6251,None,None
2017-10,Regional,Inyo,Anthem Blue Cross Partnership Plan/Inyo,1961,None,None
2017-10,Regional,Inyo,California Health & Wellness/Inyo,1889,None,None
2017-10,Regional,Mariposa,Anthem Blue Cross Partnership Plan/Mariposa,2989,None,None
2017-10,Regional,Mariposa,California Health & Wellness/Mariposa,847,None,None
2017-10,Regional,Mono,Anthem Blue Cross Partnership Plan/Mono,1665,None,None
2017-10,Regional,Mono,California Health & Wellness/Mono,987,None,None
2017-10,Regional,Nevada,Anthem Blue Cross Partnership Plan/Nevada,12431,None,None
2017-10,Regional,Nevada,California Health & Wellness/Nevada,8305,None,None
2017-10,Regional,Placer,Anthem Blue Cross Partnership Plan/Placer,30518,None,None
2017-10,Regional,Placer,California Health & Wellness/Placer,9217,None,None
2017-10,Regional,Placer,Kaiser/Placer,6784,None,None
2017-10,Regional,Plumas,Anthem Blue Cross Partnership Plan/Plumas,2632,None,None
2017-10,Regional,Plumas,California Health & Wellness/Plumas,2403,None,None
2017-10,Regional,Sierra,Anthem Blue Cross Partnership Plan/Sierra,411,None,None
2017-10,Regional,Sierra,California Health & Wellness/Sierra,219,None,None
2017-10,Regional,Sutter,Anthem Blue Cross Partnership Plan/Sutter,22196,None,None
2017-10,Regional,Sutter,California Health & Wellness/Sutter,9981,None,None
2017-10,Regional,Tehama,Anthem Blue Cross Partnership Plan/Tehama,9379,None,None
2017-10,Regional,Tehama,California Health & Wellness/Tehama,11181,None,None
2017-10,Regional,Tuolumne,Anthem Blue Cross Partnership Plan/Tuolumne,5080,None,None
2017-10,Regional,Tuolumne,California Health & Wellness/Tuolumne,5792,None,None
2017-10,Regional,Yuba,Anthem Blue Cross Partnership Plan/Yuba,16956,None,None
2017-10,Regional,Yuba,California Health & Wellness/Yuba,8820,None,None
2017-10,San Benito Model,San Benito,Anthem Blue Cross Partnership Plan/San Benito,8159,None,None
2017-10,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1599,None,None
2017-10,SCAN,Los Angeles,SCAN Hlth Plan / LA,7324,None,None
2017-10,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,537,None,None
2017-10,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,2019,None,None
2017-10,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,334,None,None
2017-10,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,1336,None,None
2017-10,Special Project,Alameda,Cntr Elders Indep/Alameda,627,None,None
2017-10,Special Project,Contra Costa,Center for Elders Independence,76,None,None
2017-10,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,2392,None,None
2017-10,Special Project,Los Angeles,Brandman Ctrs for Senior Care,225,None,None
2017-10,Special Project,Sacramento,Sutter SeniorCare/Sac,281,None,None
2017-10,Special Project,San Francisco,Family Mosaic Prj / SF,20,None,None
2017-10,Two-Plan,Alameda,Alameda Alliance for Hlth,266588,None,None
2017-10,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,64824,None,None
2017-10,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,28639,None,None
2017-10,Two-Plan,Contra Costa,Contra Costa Hlth Plan,183966,None,None
2017-10,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,111587,None,None
2017-10,Two-Plan,Fresno,CalViva Health Fresno,300983,None,None
2017-10,Two-Plan,Kern,Health Net/Kern,75746,None,None
2017-10,Two-Plan,Kern,Kern Hlth Systems,248670,None,None
2017-10,Two-Plan,Kings,Anthem Blue Cross Partnership Plan/Kings,19774,None,None
2017-10,Two-Plan,Kings,CalViva Health Kings,27494,None,None
2017-10,Two-Plan,Los Angeles,Health Net / LA,1020916,None,None
2017-10,Two-Plan,Los Angeles,LA CARE,2066556,None,None
2017-10,Two-Plan,Madera,Anthem Blue Cross Partnership Plan/Madera,19230,None,None
2017-10,Two-Plan,Madera,CalViva Health Madera,36568,None,None
2017-10,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,605416,None,None
2017-10,Two-Plan,Riverside,Molina Healthcare of California/Riverside,89483,None,None
2017-10,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,631491,None,None
2017-10,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,76927,None,None
2017-10,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,19831,None,None
2017-10,Two-Plan,San Francisco,San Francisco Hlth Plan,136202,None,None
2017-10,Two-Plan,San Joaquin,Health Net/San Joaquin,22239,None,None
2017-10,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,220819,None,None
2017-10,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,75523,None,None
2017-10,Two-Plan,Santa Clara,Santa Clara Family Hlth,262345,None,None
2017-10,Two-Plan,Stanislaus,Health Net/Stanislaus,74971,None,None
2017-10,Two-Plan,Stanislaus,Health Plan of San Joaquin,129444,None,None
2017-10,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,94012,None,None
2017-10,Two-Plan,Tulare,Health Net/Tulare,115391,None,None
2017-11,Cal MediConnect,Los Angeles,Molina Healthcare Los Angeles CCI,2654,None,None
2017-11,Cal MediConnect,Riverside,Molina Healthcare Riverside CCI,2255,None,None
2017-11,Cal MediConnect,Los Angeles,Anthem Blue Cross (Care More) CCI,3610,None,None
2017-11,Cal MediConnect,Los Angeles,Care 1st Health Plan CCI,3450,None,None
2017-11,Cal MediConnect,Los Angeles,Health Net Los Angeles CCI,12245,None,None
2017-11,Cal MediConnect,Los Angeles,LA CARE CCI,15297,None,None
2017-11,Cal MediConnect,Orange,CalOPTIMA CCI,15054,None,None
2017-11,Cal MediConnect,Riverside,Inland Emp Hlth Plan/Rvrsd CCI,12530,None,None
2017-11,Cal MediConnect,San Bernardino,Inland Emp Hlth Plan/San Beranrdino CCI,12189,None,None
2017-11,Cal MediConnect,San Diego ,Care 1st Parternship CCI,2372,None,None
2017-11,Cal MediConnect,San Diego ,Community Health Group CCI,5467,None,None
2017-11,Cal MediConnect,San Diego ,Health Net San Diego CCI,2140,None,None
2017-11,Cal MediConnect,San Mateo,Hlth Plan of San Mateo CCI,9141,None,None
2017-11,Cal MediConnect,Santa Clara,Anthem Blue Cross Partnership Plan/Santa Clara CCI,2883,None,None
2017-11,Cal MediConnect,Santa Clara,Santa Clara Family Hlth CCI,7173,None,None
2017-11,Cal MediConnect,San Bernardino,Molina Healthcare San Bernardino CCI,2311,None,None
2017-11,Cal MediConnect,San Diego ,Molina Healthcare San Diego CCI,4685,None,None
2017-11,CCS Demonstration,San Mateo,San Mateo HCP CCS,1578,None,None
2017-11,COHS,Del Norte,Partnership HealthPlan of CA/Del Norte,11501,None,None
2017-11,COHS,Humboldt,Partnership HealthPlan of CA/Humboldt,52328,None,None
2017-11,COHS,Lake,Partnership HealthPlan of CA/Lake,30950,None,None
2017-11,COHS,Lassen,Partnership HealthPlan of CA/Lassen,7491,None,None
2017-11,COHS,Marin,Partnership HealthPlan of CA/Marin,39516,None,None
2017-11,COHS,Mendocino,Partnership HealthPlan of CA/Mendocino,38452,None,None
2017-11,COHS,Merced,Central California Alliance for Health Merced,126981,None,None
2017-11,COHS,Modoc,Partnership HealthPlan of CA/Modoc,3135,None,None
2017-11,COHS,Monterey,Central California Alliance for Health/Monterey,156965,None,None
2017-11,COHS,Napa,Partnership HP of CA/Napa,28716,None,None
2017-11,COHS,Orange,CalOPTIMA / Orange,768098,None,None
2017-11,COHS,San Luis Obispo,"Santa Barbara Hlth Authrty, San Luis Obispo",54304,None,None
2017-11,COHS,San Mateo,Hlth Plan of San Mateo,111112,None,None
2017-11,COHS,Santa Barbara,Santa Barbara Hlth Authrty,125893,None,None
2017-11,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,68964,None,None
2017-11,COHS,Shasta,Partnership HealthPlan of CA/Shasta,59860,None,None
2017-11,COHS,Siskiyou,Partnership HealthPlan of CA/Siskiyou,17496,None,None
2017-11,COHS,Solano,Partnership HP of CA/Solano,110559,None,None
2017-11,COHS,Sonoma,Partnership HealthPlan of CA/Sonoma,112609,None,None
2017-11,COHS,Trinity,Partnership HealthPlan of CA/Trinity,4338,None,None
2017-11,COHS,Ventura,Gold Coast Health Plan Ventura,204028,None,None
2017-11,COHS,Yolo,Partnership HealthPlan of CA/Yolo,54131,None,None
2017-11,Dental,Los Angeles,Access Dental Plan/LA,189361,None,None
2017-11,Dental,Los Angeles,Health Net of California,198408,None,None
2017-11,Dental,Los Angeles,Liberty Dental Plan of CA (LA),66591,None,None
2017-11,Dental,Sacramento,Access Dental Plan/Sacto,137419,None,None
2017-11,Dental,Sacramento,Health Net of California Dental,129016,None,None
2017-11,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,161701,None,None
2017-11,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,181255,None,None
2017-11,Geographic Managed Care,Sacramento,Health Net/Sac,113940,None,None
2017-11,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,84469,None,None
2017-11,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,59522,None,None
2017-11,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),85120,None,None
2017-11,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,282452,None,None
2017-11,Geographic Managed Care,San Diego ,Health Net/San Diego,76660,None,None
2017-11,Geographic Managed Care,San Diego ,Kaiser/San Diego,52389,None,None
2017-11,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,230598,None,None
2017-11,Geographic Managed Care,Sacramento,UnitedHealthcare Community Plan of California/Sacto,555,None,None
2017-11,Geographic Managed Care,San Diego ,UnitedHealthcare Community Plan of California/San Diego,377,None,None
2017-11,Imperial Model,Imperial,California Health & Wellness/Imperial,61447,None,None
2017-11,Imperial Model,Imperial,Molina Healthcare of California/Imperial,15232,None,None
2017-11,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,224,None,None
2017-11,PACE,Fresno,Central Valley Medical Services Corp.,393,None,None
2017-11,PACE,Humboldt,"Humboldt Senior Resources Center, Inc.",135,None,None
2017-11,PACE,Orange,CalOPTIMA PACE,236,None,None
2017-11,PACE,Riverside,InnovAge PACE/Riverside,117,None,None
2017-11,PACE,San Bernardino,InnovAge PACE/San Bernardino,333,None,None
2017-11,PACE,San Diego ,San Diego PACE,241,None,None
2017-11,PACE,San Diego ,St. Paul's PACE,694,None,None
2017-11,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,993,None,None
2017-11,PACE,Santa Clara,OnLok Lifeways,224,None,None
2017-11,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,674,None,None
2017-11,Regional,Alpine,Anthem Blue Cross Partnership Plan/Alpine,136,None,None
2017-11,Regional,Alpine,California Health & Wellness/Alpine,90,None,None
2017-11,Regional,Amador,Anthem Blue Cross Partnership Plan/Amador,5347,None,None
2017-11,Regional,Amador,California Health & Wellness/Amador,1048,None,None
2017-11,Regional,Amador,Kaiser/Amador,95,None,None
2017-11,Regional,Butte,Anthem Blue Cross Partnership Plan/Butte,28778,None,None
2017-11,Regional,Butte,California Health & Wellness/Butte,37481,None,None
2017-11,Regional,Calaveras,Anthem Blue Cross Partnership Plan/Calaveras,3819,None,None
2017-11,Regional,Calaveras,California Health & Wellness/Calaveras,5635,None,None
2017-11,Regional,Colusa,Anthem Blue Cross Partnership Plan/Colusa,4730,None,None
2017-11,Regional,Colusa,California Health & Wellness/Colusa,2655,None,None
2017-11,Regional,El Dorado,Anthem Blue Cross Partnership Plan/El Dorado,8760,None,None
2017-11,Regional,El Dorado,California Health & Wellness/El Dorado,19493,None,None
2017-11,Regional,El Dorado,Kaiser/El Dorado,1870,None,None
2017-11,Regional,Glenn,Anthem Blue Cross Partnership Plan/Glenn,3685,None,None
2017-11,Regional,Glenn,California Health & Wellness/Glenn,6356,None,None
2017-11,Regional,Inyo,Anthem Blue Cross Partnership Plan/Inyo,1960,None,None
2017-11,Regional,Inyo,California Health & Wellness/Inyo,1903,None,None
2017-11,Regional,Mariposa,Anthem Blue Cross Partnership Plan/Mariposa,2981,None,None
2017-11,Regional,Mariposa,California Health & Wellness/Mariposa,846,None,None
2017-11,Regional,Mono,Anthem Blue Cross Partnership Plan/Mono,1623,None,None
2017-11,Regional,Mono,California Health & Wellness/Mono,982,None,None
2017-11,Regional,Nevada,Anthem Blue Cross Partnership Plan/Nevada,12471,None,None
2017-11,Regional,Nevada,California Health & Wellness/Nevada,8345,None,None
2017-11,Regional,Placer,Anthem Blue Cross Partnership Plan/Placer,30389,None,None
2017-11,Regional,Placer,California Health & Wellness/Placer,9171,None,None
2017-11,Regional,Placer,Kaiser/Placer,6815,None,None
2017-11,Regional,Plumas,Anthem Blue Cross Partnership Plan/Plumas,2625,None,None
2017-11,Regional,Plumas,California Health & Wellness/Plumas,2410,None,None
2017-11,Regional,Sierra,Anthem Blue Cross Partnership Plan/Sierra,401,None,None
2017-11,Regional,Sierra,California Health & Wellness/Sierra,216,None,None
2017-11,Regional,Sutter,Anthem Blue Cross Partnership Plan/Sutter,22115,None,None
2017-11,Regional,Sutter,California Health & Wellness/Sutter,9991,None,None
2017-11,Regional,Tehama,Anthem Blue Cross Partnership Plan/Tehama,9326,None,None
2017-11,Regional,Tehama,California Health & Wellness/Tehama,11221,None,None
2017-11,Regional,Tuolumne,Anthem Blue Cross Partnership Plan/Tuolumne,5067,None,None
2017-11,Regional,Tuolumne,California Health & Wellness/Tuolumne,5747,None,None
2017-11,Regional,Yuba,Anthem Blue Cross Partnership Plan/Yuba,17011,None,None
2017-11,Regional,Yuba,California Health & Wellness/Yuba,8813,None,None
2017-11,San Benito Model,San Benito,Anthem Blue Cross Partnership Plan/San Benito,8128,None,None
2017-11,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1607,None,None
2017-11,SCAN,Los Angeles,SCAN Hlth Plan / LA,7304,None,None
2017-11,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,534,None,None
2017-11,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,1997,None,None
2017-11,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,337,None,None
2017-11,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,1339,None,None
2017-11,Special Project,Alameda,Cntr Elders Indep/Alameda,630,None,None
2017-11,Special Project,Contra Costa,Center for Elders Independence,76,None,None
2017-11,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,2421,None,None
2017-11,Special Project,Los Angeles,Brandman Ctrs for Senior Care,223,None,None
2017-11,Special Project,Sacramento,Sutter SeniorCare/Sac,282,None,None
2017-11,Special Project,San Francisco,Family Mosaic Prj / SF,19,None,None
2017-11,Two-Plan,Alameda,Alameda Alliance for Hlth,265211,None,None
2017-11,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,64115,None,None
2017-11,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,28400,None,None
2017-11,Two-Plan,Contra Costa,Contra Costa Hlth Plan,182996,None,None
2017-11,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,111059,None,None
2017-11,Two-Plan,Fresno,CalViva Health Fresno,300167,None,None
2017-11,Two-Plan,Kern,Health Net/Kern,75365,None,None
2017-11,Two-Plan,Kern,Kern Hlth Systems,248959,None,None
2017-11,Two-Plan,Kings,Anthem Blue Cross Partnership Plan/Kings,19798,None,None
2017-11,Two-Plan,Kings,CalViva Health Kings,27636,None,None
2017-11,Two-Plan,Los Angeles,Health Net / LA,1017627,None,None
2017-11,Two-Plan,Los Angeles,LA CARE,2066374,None,None
2017-11,Two-Plan,Madera,Anthem Blue Cross Partnership Plan/Madera,19241,None,None
2017-11,Two-Plan,Madera,CalViva Health Madera,36614,None,None
2017-11,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,606320,None,None
2017-11,Two-Plan,Riverside,Molina Healthcare of California/Riverside,89056,None,None
2017-11,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,630608,None,None
2017-11,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,76491,None,None
2017-11,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,19584,None,None
2017-11,Two-Plan,San Francisco,San Francisco Hlth Plan,134832,None,None
2017-11,Two-Plan,San Joaquin,Health Net/San Joaquin,22053,None,None
2017-11,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,220699,None,None
2017-11,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,75327,None,None
2017-11,Two-Plan,Santa Clara,Santa Clara Family Hlth,261287,None,None
2017-11,Two-Plan,Stanislaus,Health Net/Stanislaus,74433,None,None
2017-11,Two-Plan,Stanislaus,Health Plan of San Joaquin,129745,None,None
2017-11,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,93683,None,None
2017-11,Two-Plan,Tulare,Health Net/Tulare,115536,None,None
2017-12,Cal MediConnect,Los Angeles,Molina Healthcare Los Angeles CCI,2657,None,None
2017-12,Cal MediConnect,Riverside,Molina Healthcare Riverside CCI,2218,None,None
2017-12,Cal MediConnect,Los Angeles,Anthem Blue Cross (Care More) CCI,3583,None,None
2017-12,Cal MediConnect,Los Angeles,Care 1st Health Plan CCI,3382,None,None
2017-12,Cal MediConnect,Los Angeles,Health Net Los Angeles CCI,12039,None,None
2017-12,Cal MediConnect,Los Angeles,LA CARE CCI,15273,None,None
2017-12,Cal MediConnect,Orange,CalOPTIMA CCI,15017,None,None
2017-12,Cal MediConnect,Riverside,Inland Emp Hlth Plan/Rvrsd CCI,12539,None,None
2017-12,Cal MediConnect,San Bernardino,Inland Emp Hlth Plan/San Beranrdino CCI,12172,None,None
2017-12,Cal MediConnect,San Diego ,Care 1st Parternship CCI,2360,None,None
2017-12,Cal MediConnect,San Diego ,Community Health Group CCI,5511,None,None
2017-12,Cal MediConnect,San Diego ,Health Net San Diego CCI,2116,None,None
2017-12,Cal MediConnect,San Mateo,Hlth Plan of San Mateo CCI,9148,None,None
2017-12,Cal MediConnect,Santa Clara,Anthem Blue Cross Partnership Plan/Santa Clara CCI,2823,None,None
2017-12,Cal MediConnect,Santa Clara,Santa Clara Family Hlth CCI,7176,None,None
2017-12,Cal MediConnect,San Bernardino,Molina Healthcare San Bernardino CCI,2296,None,None
2017-12,Cal MediConnect,San Diego ,Molina Healthcare San Diego CCI,4655,None,None
2017-12,CCS Demonstration,San Mateo,San Mateo HCP CCS,1595,None,None
2017-12,COHS,Del Norte,Partnership HealthPlan of CA/Del Norte,11481,None,None
2017-12,COHS,Humboldt,Partnership HealthPlan of CA/Humboldt,52479,None,None
2017-12,COHS,Lake,Partnership HealthPlan of CA/Lake,31094,None,None
2017-12,COHS,Lassen,Partnership HealthPlan of CA/Lassen,7474,None,None
2017-12,COHS,Marin,Partnership HealthPlan of CA/Marin,39426,None,None
2017-12,COHS,Mendocino,Partnership HealthPlan of CA/Mendocino,38602,None,None
2017-12,COHS,Merced,Central California Alliance for Health Merced,126882,None,None
2017-12,COHS,Modoc,Partnership HealthPlan of CA/Modoc,3142,None,None
2017-12,COHS,Monterey,Central California Alliance for Health/Monterey,156651,None,None
2017-12,COHS,Napa,Partnership HP of CA/Napa,28755,None,None
2017-12,COHS,Orange,CalOPTIMA / Orange,771657,None,None
2017-12,COHS,San Luis Obispo,"Santa Barbara Hlth Authrty, San Luis Obispo",54502,None,None
2017-12,COHS,San Mateo,Hlth Plan of San Mateo,110898,None,None
2017-12,COHS,Santa Barbara,Santa Barbara Hlth Authrty,126252,None,None
2017-12,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,69062,None,None
2017-12,COHS,Shasta,Partnership HealthPlan of CA/Shasta,59806,None,None
2017-12,COHS,Siskiyou,Partnership HealthPlan of CA/Siskiyou,17510,None,None
2017-12,COHS,Solano,Partnership HP of CA/Solano,111159,None,None
2017-12,COHS,Sonoma,Partnership HealthPlan of CA/Sonoma,112351,None,None
2017-12,COHS,Trinity,Partnership HealthPlan of CA/Trinity,4361,None,None
2017-12,COHS,Ventura,Gold Coast Health Plan Ventura,204287,None,None
2017-12,COHS,Yolo,Partnership HealthPlan of CA/Yolo,54084,None,None
2017-12,Dental,Los Angeles,Access Dental Plan/LA,186675,None,None
2017-12,Dental,Los Angeles,Health Net of California,197008,None,None
2017-12,Dental,Los Angeles,Liberty Dental Plan of CA (LA),66071,None,None
2017-12,Dental,Sacramento,Access Dental Plan/Sacto,138127,None,None
2017-12,Dental,Sacramento,Health Net of California Dental,130022,None,None
2017-12,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,163022,None,None
2017-12,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,182215,None,None
2017-12,Geographic Managed Care,Sacramento,Health Net/Sac,114444,None,None
2017-12,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,85077,None,None
2017-12,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,59883,None,None
2017-12,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),85800,None,None
2017-12,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,283068,None,None
2017-12,Geographic Managed Care,San Diego ,Health Net/San Diego,77115,None,None
